 
list-none-none,1,10,1,30,77207,2573
list-none-none,1,100,1,300,65413,218
list-none-none,1,1000,1,3000,1882710,627
list-none-none,1,10000,1,30000,352138681,11737
list-none-none,1,20000,1,60000,1790519989,29841
list-none-none,2,1,1,6,90130,15021
list-none-none,2,10,1,60,40428,673
list-none-none,12,1,1,36,227108,6308
list-d-none,2,2,1,12,77097,6424
list-d-none,2,4,1,24,77639,3234
list-d-none,2,8,1,48,90750,1890
list-d-none,2,16,1,96,91779,956
list-d-none,4,1,1,12,75395,6282
list-d-none,4,2,1,24,61648,2568
list-d-none,4,4,1,48,85744,1786
list-d-none,4,8,1,96,104788,1091
list-d-none,4,32,1,384,100577,261
list-d-none,8,1,1,24,163535,6813
list-d-none,8,2,1,48,124214,2587
list-d-none,8,4,1,96,118776,1237
list-d-none,12,4,1,144,403766,2803
list-i-none,2,1,1,6,88819,14803
list-i-none,2,2,1,12,79472,6622
list-i-none,2,4,1,24,85121,3546
list-i-none,2,16,1,96,95875,998
list-i-none,4,1,1,12,164773,13731
list-i-none,4,2,1,24,136736,5697
list-i-none,4,4,1,48,154910,3227
list-i-none,8,1,1,24,187903,7829
list-i-none,8,2,1,48,114820,2392
list-i-none,8,4,1,96,186669,1944
list-i-none,12,1,1,36,190133,5281
list-dl-none,2,1,1,6,51316,8552
list-dl-none,2,16,1,96,166800,1737
list-dl-none,2,32,1,192,412210,2146
list-dl-none,4,1,1,12,81450,6787
list-dl-none,4,2,1,24,123509,5146
list-dl-none,4,4,1,48,80353,1674
list-dl-none,4,8,1,96,146045,1521
list-dl-none,8,1,1,24,194891,8120
list-dl-none,8,2,1,48,180577,3762
list-dl-none,8,8,1,192,363540,1893
list-dl-none,8,32,1,768,2547098,3316
list-dl-none,12,1,1,36,266096,7391
list-dl-none,12,2,1,72,249478,3464
list-dl-none,12,4,1,144,589856,4096
list-il-none,2,1,1,6,95526,15921
list-il-none,2,2,1,12,87181,7265
list-il-none,2,4,1,24,96000,4000
list-il-none,2,8,1,48,162222,3379
list-il-none,2,16,1,96,238785,2487
list-il-none,2,32,1,192,587649,3060
list-il-none,4,1,1,12,138574,11547
list-il-none,4,2,1,24,126457,5269
list-il-none,4,8,1,96,252621,2631
list-il-none,4,16,1,192,479402,2496
list-il-none,8,1,1,24,244595,10191
list-il-none,8,2,1,48,194780,4057
list-il-none,8,4,1,96,227221,2366
list-il-none,8,32,1,768,3091185,4024
list-il-none,12,2,1,72,301559,4188
list-il-none,12,4,1,144,374633,2601
list-il-none,12,8,1,288,504615,1752
list-il-none,12,16,1,576,1489132,2585
list-d-m,12,32,1,1152,1473563,1279
list-i-m,12,32,1,1152,1254460,1088
list-il-m,12,32,1,1152,12875567,11176
list-dl-m,12,32,1,1152,9558894,8297
list-d-s,12,32,1,1152,4661270,4046
list-i-s,12,32,1,1152,14955540,12982
list-il-s,12,32,1,1152,143482243,124550
list-dl-s,12,32,1,1152,14279748,12395
list-none-s,1,1000,1,3000,1874910,624
list-none-s,2,1000,1,6000,12336697,2056
list-none-s,4,1000,1,12000,39884581,3323
list-none-s,8,1000,1,24000,125544951,5231
list-none-s,12,1000,1,36000,916177723,25449
list-none-s,16,1000,1,48000,1898330138,39548
list-none-s,24,1000,1,72000,10019599954,139161
list-none-m,1,1000,1,3000,1952502,650
list-none-m,2,1000,1,6000,14030725,2338
list-none-m,4,1000,1,12000,68677059,5723
list-none-m,8,1000,1,24000,231359304,9639
list-none-m,12,1000,1,36000,492393797,13677
list-none-m,16,1000,1,48000,852606029,17762
list-none-m,24,1000,1,72000,1508414482,20950
