 
add-yield-none,2,10,40,115829,2895,0
add-yield-none,4,10,80,164294,2053,6
add-yield-none,8,10,160,255969,1599,25
add-yield-none,12,10,240,409779,1707,34
add-yield-none,2,20,80,188916,2361,0
add-yield-none,4,20,160,243852,1524,2
add-yield-none,8,20,320,385268,1203,41
add-yield-none,12,20,480,545475,1136,67
add-yield-none,2,40,160,201696,1260,5
add-yield-none,4,40,320,278624,870,21
add-yield-none,8,40,640,513707,802,38
add-yield-none,12,40,960,646187,673,58
add-yield-none,2,80,320,362496,1132,32
add-yield-none,4,80,640,542428,847,24
add-yield-none,8,80,1280,835694,652,3
add-yield-none,12,80,1920,818114,426,114
add-yield-none,2,100,400,333611,834,0
add-yield-none,4,100,800,315937,394,18
add-yield-none,8,100,1600,564700,352,68
add-yield-none,12,100,2400,858778,357,144
add-yield-none,2,1000,4000,1914526,478,14
add-yield-none,4,1000,8000,2983969,372,7
add-yield-none,8,1000,16000,3821738,238,771
add-yield-none,12,1000,24000,5719281,238,-100
add-yield-none,2,10000,40000,9480598,237,-114
add-yield-none,4,10000,80000,8944834,111,30
add-yield-none,8,10000,160000,15900763,99,-3478
add-yield-none,12,10000,240000,33270806,138,5593
add-yield-none,2,100000,400000,92574652,231,-2136
add-yield-none,4,100000,800000,111460369,139,-41770
add-yield-none,8,100000,1600000,137066876,85,-6365
add-yield-none,12,100000,2400000,248996444,103,-55624
add-none,2,100,400,49058,122,0
add-none,8,100,1600,144996,90,21
add-none,2,1000,4000,56146,14,729
add-none,8,1000,16000,163434,10,42
add-none,2,10000,40000,187688,4,-436
add-none,8,10000,160000,978885,6,7256
add-none,2,100000,400000,2491448,6,35877
add-none,8,100000,1600000,10960863,6,-83459
add-none,1,10,20,75892,3794,0
add-none,1,100,200,74614,373,0
add-none,1,1000,2000,44872,22,0
add-none,1,10000,20000,132706,6,0
add-none,1,100000,200000,754630,3,0
add-none,1,1000000,2000000,7125021,3,0
add-yield-m,2,10000,40000,53535104,1338,0
add-yield-m,4,10000,80000,77768595,972,0
add-yield-m,8,10000,160000,158499320,990,0
add-yield-m,12,10000,240000,303509794,1264,0
add-yield-c,2,10000,40000,22842234,571,0
add-yield-c,4,10000,80000,48266183,603,0
add-yield-c,8,10000,160000,103944494,649,0
add-yield-c,12,10000,240000,146593559,610,0
add-yield-s,2,1000,4000,1996116,499,0
add-yield-s,4,1000,8000,4646505,580,0
add-yield-s,8,1000,16000,13536586,846,0
add-yield-s,12,1000,24000,892890848,37203,0
add-none,1,10000,20000,137955,6,0
add-none,2,10000,40000,359639,8,2064
add-none,4,10000,80000,618696,7,5410
add-none,8,10000,160000,1125721,7,-2601
add-none,12,10000,240000,1613084,6,20632
add-m,1,10000,20000,351211,17,0
add-m,2,10000,40000,1562043,39,0
add-m,4,10000,80000,6213480,77,0
add-m,8,10000,160000,12744799,79,0
add-m,12,10000,240000,19612271,81,0
add-s,1,10000,20000,202526,10,0
add-s,2,10000,40000,2130645,53,0
add-s,4,10000,80000,14097137,176,0
add-s,8,10000,160000,39635220,247,0
add-s,12,10000,240000,94041499,391,0
add-c,1,10000,20000,269064,13,0
add-c,2,10000,40000,505942,12,0
add-c,4,10000,80000,5634617,70,0
add-c,8,10000,160000,15635448,97,0
add-c,12,10000,240000,21362902,89,0
