 
list-none-m,1,1000,1,3000,3750880,1250,26
list-none-m,2,1000,1,6000,23744849,3957,3953
list-none-m,4,1000,1,12000,91489662,7624,22519
list-none-m,8,1000,1,24000,415678852,17319,115782
list-none-m,12,1000,1,36000,958493131,26624,270749
list-none-m,16,1000,1,48000,2039813760,42496,596232
list-none-m,24,1000,1,72000,4466754762,62038,1225039
list-none-s,1,1000,1,3000,3728211,1242,24
list-none-s,2,1000,1,6000,18001147,3000,2933
list-none-s,4,1000,1,12000,99967757,8330,25132
list-none-s,8,1000,1,24000,345317683,14388,86289
list-none-s,12,1000,1,36000,684477252,19013,148596
list-none-s,16,1000,1,48000,1271294791,26485,261714
list-none-s,24,1000,1,72000,4332720556,60176,1058840
list-id-none,1,1,4,3,118738,39579,0
list-id-none,1,2,4,6,102382,17063,0
list-id-none,1,4,4,12,109614,9134,0
list-id-none,1,8,4,24,92947,3872,0
list-id-none,1,16,4,48,117328,2444,0
list-id-none,4,1,4,12,153647,12803,0
list-id-none,4,2,4,24,161480,6728,0
list-id-none,4,4,4,48,176760,3682,0
list-id-none,8,1,4,24,271678,11319,0
list-id-none,8,2,4,48,298093,6210,0
list-id-none,8,4,4,96,283265,2950,0
list-id-none,12,1,4,36,411449,11429,0
list-id-none,12,2,4,72,395059,5486,0
list-id-none,16,1,4,48,507753,10578,0
list-id-none,16,2,4,96,457663,4767,0
list-id-none,16,4,4,192,499207,2600,0
list-id-none,16,8,4,384,559871,1457,0
list-id-m,1,10,1,30,120107,4003,67
list-id-m,1,20,4,60,120516,2008,50
list-id-m,1,40,4,120,181413,1511,37
list-id-m,1,80,4,240,259110,1079,32
list-id-m,4,10,4,120,231369,1928,1418
list-id-m,4,20,4,240,322363,1343,1297
list-id-m,4,40,4,480,566606,1180,1524
list-id-m,4,80,4,960,1128601,1175,1855
list-id-m,8,10,4,240,373160,1554,1646
list-id-m,8,20,4,480,650563,1355,4183
list-id-m,8,40,4,960,1001903,1043,3512
list-id-m,8,80,4,1920,2112241,1100,4599
list-id-m,12,10,4,360,484653,1346,2455
list-id-m,12,20,4,720,813941,1130,4913
list-id-m,12,40,4,1440,1534038,1065,6595
list-id-m,12,80,4,2880,3357225,1165,8713
list-id-m,16,10,4,480,568867,1185,1456
list-id-m,16,20,4,960,1074814,1119,7342
list-id-m,16,40,4,1920,2238971,1166,11073
list-id-m,16,80,4,3840,4710941,1226,13437
list-id-s,1,10,1,30,119069,3968,32
list-id-s,1,20,4,60,139539,2325,30
list-id-s,1,40,4,120,202610,1688,49
list-id-s,1,80,4,240,253848,1057,25
list-id-s,4,10,4,120,199420,1661,648
list-id-s,4,20,4,240,223890,932,270
list-id-s,4,40,4,480,366472,763,661
list-id-s,4,80,4,960,769786,801,1090
list-id-s,8,10,4,240,334475,1393,319
list-id-s,8,20,4,480,412009,858,1477
list-id-s,8,40,4,960,771605,803,2593
list-id-s,8,80,4,1920,1667122,868,3458
list-id-s,12,10,4,360,406761,1129,281
list-id-s,12,20,4,720,612889,851,2282
list-id-s,12,40,4,1440,1235955,858,4900
list-id-s,12,80,4,2880,3178418,1103,8496
list-id-s,16,10,4,480,485756,1011,277
list-id-s,16,20,4,960,739178,769,2822
list-id-s,16,40,4,1920,1890986,984,8662
list-id-s,16,80,4,3840,5057486,1317,14567
list-none-m,1,1000,4,3000,1259583,419,31
list-none-m,1,1000,8,3000,787559,262,28
list-none-m,1,1000,16,3000,600066,200,27
list-none-m,2,1000,4,6000,8672251,1445,806
list-none-m,2,1000,8,6000,5230120,871,388
list-none-m,2,1000,16,6000,3513464,585,219
list-none-m,4,1000,4,12000,18532570,1544,2825
list-none-m,4,1000,8,12000,10430321,869,1145
list-none-m,4,1000,16,12000,5627644,468,490
list-none-m,8,1000,4,24000,55385759,2307,11898
list-none-m,8,1000,8,24000,26646048,1110,4523
list-none-m,8,1000,16,24000,12688276,528,1531
list-none-m,12,1000,4,36000,123499451,3430,30637
list-none-m,12,1000,8,36000,52884457,1469,11169
list-none-m,12,1000,16,36000,23795730,660,3611
list-none-s,1,1000,4,3000,1192524,397,24
list-none-s,1,1000,8,3000,783540,261,24
list-none-s,1,1000,16,3000,559290,186,24
list-none-s,2,1000,4,6000,8549084,1424,471
list-none-s,2,1000,8,6000,4700513,783,216
list-none-s,2,1000,16,6000,3227952,537,162
list-none-s,4,1000,4,12000,18699522,1558,2485
list-none-s,4,1000,8,12000,9633218,802,813
list-none-s,4,1000,16,12000,5660920,471,353
list-none-s,8,1000,4,24000,47772106,1990,9678
list-none-s,8,1000,8,24000,19916977,829,3092
list-none-s,8,1000,16,24000,10481200,436,1063
list-none-s,12,1000,4,36000,107460846,2985,26219
list-none-s,12,1000,8,36000,41900459,1163,8282
list-none-s,12,1000,16,36000,17727545,492,2408
